fecha,tipo,categoria,concepto,importe
2024-10-05,gasto,Ocio,entrada classic,12.00
2024-10-05,gasto,Alimentación,kebab dinar casa papa,5.70
2024-10-05,gasto,Transporte,gasolina coche papa,8.00
2024-10-06,gasto,Ocio,entrada cocoa,11.00
2024-10-07,gasto,Alimentación,bocata uni,2.60
2024-10-08,gasto,Ropa,zara,48.90
2024-10-09,gasto,Vivienda,casa halloween,48.60
2024-10-10,gasto,Transporte,gasolina moto,8.00
2024-10-12,gasto,Ocio,calssic mataro +copa 54,16.00
2024-10-13,gasto,Otros,jarra 54,6.00
2024-10-13,gasto,Ocio,entrada cocoa,10.00
2024-10-13,gasto,Ocio,copa cocoa,8.00
2024-10-13,gasto,Otros,cuadros,12.40
2024-10-14,gasto,Otros,boacata uni,1.00
2024-10-18,gasto,Alimentación,sushi,20.70
2024-10-25,gasto,Alimentación,bocata uni,2.60
2024-10-31,gasto,Otros,marcadona,7.75
2024-11-01,gasto,Otros,restuante vic,7.95
2024-11-01,gasto,Otros,bzium,8.30
2024-11-02,gasto,Alimentación,cena vip coca,9.50
2024-11-02,gasto,Otros,claar amb els del camping,2.50
2024-11-03,gasto,Vivienda,llaves casa papa y mama,19.70
2024-11-05,gasto,Alimentación,mercadona,3.19
2024-11-07,gasto,Otros,tabac,5.45
2024-11-08,gasto,Alimentación,sopar uni ribas abril,6.65
2024-11-10,gasto,Otros,fin de semana,52.00
2025-01-08,gasto,Transporte,gasolina,5.00
2025-01-09,gasto,Vivienda,Casa tenerife,49.73
2025-01-09,gasto,Ocio,Padel luz,1.18
2025-01-11,gasto,Alimentación,sopar mp,19.00
2025-01-12,gasto,Educación,examen microeco,10.00
2025-01-13,gasto,Alimentación,macdo,9.11
2025-01-15,gasto,Alimentación,almuerzo,4.45
2025-01-15,gasto,Alimentación,cena,7.50
2025-01-18,gasto,Ocio,padel luz,5.90
2025-02-14,gasto,Ocio,fiesta,44.50
2025-02-15,gasto,Ocio,fiesta 2,30.40
2025-02-21,gasto,Alimentación,fiesta+cena,48.24
2025-03-01,gasto,Otros,Acessorios gopro,12.03
2025-03-03,gasto,Ocio,Padel hugo cornella,7.50
2025-03-10,gasto,Otros,vip cocoa,21.05
2025-03-11,gasto,Transporte,gasolina moto,10.00
2025-03-13,gasto,Alimentación,cena angelita,2.00
2025-03-13,gasto,Suscripciones,claude,21.78
2025-03-16,gasto,Otros,piti kk,0.52
2025-03-19,gasto,Alimentación,bocata,3.20
2025-03-21,gasto,Otros,entrda patio,16.14
2025-03-21,gasto,Alimentación,cena y pre patio,10.50
2025-03-22,gasto,Transporte,gasolina coche papa,5.00
2025-03-23,gasto,Ocio,padel fibra,6.25
2025-03-27,gasto,Otros,navas,4.50
2025-03-28,gasto,Transporte,gasolina coche,2.40
2025-03-29,gasto,Otros,tabla kite,145.93
2025-03-29,gasto,Ocio,festa classic,18.50
2025-03-29,gasto,Ocio,vermut andana,3.00
2025-03-30,gasto,Ocio,festa classic,51.15
2025-03-30,gasto,Alimentación,sopar glops,5.70
2025-03-31,gasto,Educación,examens,41.69
2025-04-01,gasto,Alimentación,DINAR FEINA,5.88
2025-04-01,gasto,Ocio,ENTRADA COSTA,15.00
2025-04-03,gasto,Alimentación,cena uni,8.49
2025-04-04,gasto,Otros,caby,5.30
2025-04-04,gasto,Alimentación,aupa cena,6.00
2025-04-06,gasto,Otros,vip cocoa,26.32
2025-04-06,gasto,Alimentación,cena barbut,7.45
2025-04-07,gasto,Otros,rocio costa este,27.50
2025-04-09,gasto,Ocio,moto barça (cooltra),16.64
2025-04-11,gasto,Ocio,alchol fiesta,7.10
2025-04-12,gasto,Alimentación,cena casa presco,2.99
2025-04-13,gasto,Ocio,entrada cocoa,10.00
2025-04-14,gasto,Otros,tabac andorra,5.60
2025-04-14,gasto,Transporte,gasolina,10.00
2025-04-15,gasto,Alimentación,bocata feina,2.05
2025-04-17,gasto,Alimentación,bocata feina,2.05
2025-04-18,gasto,Alimentación,cena,8.00
2025-04-18,gasto,Otros,pelu,20.00
2025-04-20,gasto,Ropa,camisa jack jones,1.69
2025-04-24,gasto,Alimentación,bocata feina,4.80
2025-04-25,gasto,Ocio,entrada theroom,16.00
2025-05-09,gasto,Otros,favela,5.50
2025-05-09,gasto,Otros,alchol,8.14
2025-05-09,gasto,Alimentación,pizza carpi,9.63
2025-05-10,gasto,Otros,vip classic,25.00
2025-05-10,gasto,Alimentación,masquesushi,24.40
2025-05-10,gasto,Otros,vip cocoa,30.00
2025-05-12,gasto,Otros,Zumo reilos,1.90
2025-05-14,gasto,Alimentación,dinar plat combinat feina,7.00
2025-05-15,gasto,Alimentación,bocata feina,2.05
2025-05-15,gasto,Otros,Gift card apple,150.00
2025-05-15,gasto,Transporte,gasolina moto,10.00
2025-05-17,gasto,Otros,vip cocoa,26.33
2025-05-17,gasto,Alimentación,sopar navas,7.40
2025-05-19,gasto,Alimentación,bocata feina,2.55
2025-05-25,gasto,Ocio,Cerveza reilos,5.20
2025-05-25,gasto,Alimentación,cena blau,8.00
2025-05-28,gasto,Alimentación,kk+cena,40.00
2025-06-03,gasto,Alimentación,deunido cena,23.10
2025-06-05,gasto,Alimentación,comida trabajo,5.25
2025-06-06,gasto,Otros,deuda,15.55
2025-06-08,gasto,Alimentación,mercadona festa,7.10
2025-06-08,gasto,Ocio,entrada cocoa nil i eric,40.00
2025-06-08,gasto,Alimentación,cena pre,7.50
2025-06-08,gasto,Otros,tabac,6.00
2025-06-08,gasto,Otros,blau,11.40
2025-06-10,gasto,Alimentación,comida trabajo,5.33
2025-06-14,gasto,Ocio,fiesta virnes classic,22.00
2025-06-14,gasto,Otros,corte pelo tusky,5.00
2025-06-14,gasto,Otros,Vieje cannes,23.00
2025-06-20,gasto,Otros,tabac,4.90
2025-06-20,gasto,Transporte,gasolina,7.00
2025-06-20,gasto,Alimentación,Cena angelita,6.75
2025-06-20,gasto,Otros,catering st joan,26.00
2025-06-21,gasto,Ocio,festa div classic,37.00
2025-06-21,gasto,Otros,Mojitada,7.72
2025-06-21,gasto,Otros,feria vilassar,8.00
2025-06-21,gasto,Ocio,polo+regal toni,75.00
2025-06-22,gasto,Otros,vegadua nil,1.20
2025-06-24,gasto,Ocio,festa st joan,9.15
2025-06-24,gasto,Salud,medicina mocos,7.76
2025-06-26,gasto,Alimentación,bocata feina,2.05
2025-06-27,gasto,Alimentación,bocata feina,2.05
2025-06-29,gasto,Alimentación,cena+fiesta salou,55.84
2025-07-01,gasto,Transporte,gasolina,6.00
2025-07-01,gasto,Otros,efectivo,10.00
2025-07-01,gasto,Otros,blau,3.15
2025-07-02,gasto,Otros,jan miralles,11.00
2025-07-03,gasto,Ocio,festa black and white,20.00
2025-07-03,gasto,Ocio,viaje laga,200.29
2025-07-07,gasto,Alimentación,cena blau,4.50
2025-07-07,gasto,Ropa,zapatos on,15.00
2025-07-07,gasto,Ropa,ropa haco,25.83
2025-07-07,gasto,Alimentación,cena,11.00
2025-07-08,gasto,Alimentación,cena aupa + nil,16.00
2025-07-09,gasto,Vivienda,agua,1.00
2025-07-10,gasto,Otros,bling cumple pol,42.80
2025-07-11,gasto,Vivienda,casa massana,22.00
2025-07-12,gasto,Ocio,fiesta cocoa,33.55
2025-07-13,gasto,Otros,tarde jan nil,9.56
2025-07-15,gasto,Alimentación,bocata feina,3.15
2025-07-15,gasto,Alimentación,pizza nil antes del padel,18.15
2025-07-16,gasto,Alimentación,bocata feina,3.15
2025-07-16,gasto,Transporte,gasolina moto,9.00
2025-07-17,gasto,Alimentación,bocata feina,2.05
2025-07-17,gasto,Salud,abuelito agua gas hospital,1.10
2025-07-18,gasto,Alimentación,viernes cena + tabac,19.00
2025-07-19,gasto,Ocio,fiesta nautic pol tato,44.57
2025-07-20,gasto,Ocio,entrada cocoa,28.57
2025-07-23,gasto,Alimentación,bocata feina,3.15
2025-07-24,gasto,Otros,jueves abuelito,10.66
2025-07-25,gasto,Transporte,pelu +gasolina,40.00
2025-07-27,gasto,Otros,costa este,10.40
2025-07-28,gasto,Otros,masque jan,18.60
2025-07-30,gasto,Alimentación,cena claudia and sqrt,11.40
2025-08-01,gasto,Ocio,festa,30.45
2025-08-02,gasto,Transporte,gasolina vapers,20.00
2025-08-03,gasto,Alimentación,fiesta+cena,37.89
2025-08-04,gasto,Alimentación,bocata,7.70
2025-08-04,gasto,Transporte,gasolina moto,8.00
2025-08-05,gasto,Ocio,santa market+ copas,28.00
2025-08-05,gasto,Alimentación,cena + pre arge,9.79
2025-08-06,gasto,Alimentación,gigi copas+ cena,14.16
2025-08-07,gasto,Transporte,gasolina vapers,8.00
2025-08-08,gasto,Alimentación,comida+,4.60
2025-08-09,gasto,Ocio,calella birra,3.40
2025-08-09,gasto,Alimentación,comida palamos jan pau,23.69
2025-08-10,gasto,Otros,paki,1.70
2025-08-11,gasto,Alimentación,cena kk,9.04
2025-08-14,gasto,Alimentación,cena kk,21.70
2025-08-15,gasto,Otros,carrefour expres,5.60
2025-08-17,gasto,Otros,bon preu,3.34
2025-08-19,gasto,Otros,costa este alex arc,48.00
2025-08-20,gasto,Transporte,gasolina moto,10.50
2025-08-21,gasto,Otros,pujada camping,51.21
2025-08-22,gasto,Alimentación,karting+ sopar,34.24
2025-08-24,gasto,Otros,vapers,20.00
2025-08-25,gasto,Otros,karts,40.00
2025-08-26,gasto,Alimentación,sopar mont.,24.40
2025-08-27,gasto,Alimentación,comida,10.62
